Title,Authors,Language,Categories,Average Rating,Maturity Rating,Publisher,Published Date,Page Count,Edition type,Translated,Top Selling
Sammy Keyes and the Art of Deception,W. Van Draanen,English,Juvenile Fiction,4.0,Not mature,Yearling,2009,304,Physical,Yes ,North America
Inward Journey,W. Van Draanen,English,Medical,1.0,Not mature,Open Court ,1983,133,Physical,Yes ,Latin America
The Boston Directory ...,W. Van Draanen,English,Biography,3.0,Not mature,Open Court ,1865,303,Physical,Yes ,North America
Bring Your Own Devices (BYOD) Survival Guide,Jessica Keyes,English,Business & Economics,2.0,Not mature,CRC Press,2016,451,Physical,Yes ,Central America
Enterprise 2.0,Jessica Keyes,English,Business & Economics,4.5,Not mature,CRC Press,2016,425,Physical,Yes ,North America
The CIO's Guide to Oracle Products and Solutions,Jessica Keyes,English,Business & Economics,3.0,Not mature,CRC Press,2014,288,Physical,Yes ,Europe
Implementing the IT Balanced Scorecard,Jessica Keyes,English,Computers,3.5,Not mature,CRC Press,2016,528,Physical,Yes ,North America
Implementing the Project Management Balanced Scorecard,Jessica Keyes,English,Business & Economics,2.5,Not mature,CRC Press,2010,447,Physical,Yes ,Asia
Social Software Engineering,Jessica Keyes,English,Computers,4.0,Not mature,CRC Press,2016,481,Physical,Yes ,North America
Classes on Modern Poets and the Art of Poetry,James Dickey,English,Biography ,4.5,Not mature,Carolina Press,2004,310,Physical,Yes ,Oceania
Population Health Science,M. Keyes,English,Biography ,5.0,Not mature,Oxford University,2016,224,Physical,Yes ,North America
Retelling the Nicaraguan Revolution as a Dionysian Ritual,Martina Handler,English,History,3.0,Not mature,Münster,2010,139,Physical,Yes ,North America
Flowers for Algernon,BookCaps ,English,Biography & Autobiography,5.0,Not mature,BookCaps ,2011,139,Physical,No,Asia
Handbook of Applied Developmental Science,Richard M. Lerner,English,Psychology,3.5,Not mature,SAGE,2003,2296,Physical,Yes ,North America
Wade Keyes' introductory lecture to the Montgomery Law School,I. Durham,English,English literature,4.5,Not mature,SAGE,2001,45,Physical,Yes ,Oceania
The Journal of the Iowa Academy of Science,I. Durham,English,Science,3.0,Not mature,SAGE,1989,476,Physical,Yes ,Oceania
Dental Science in a New Age,Ruth Roy Harris,English,Dentistry,5.0,Not mature,SAGE,1989,476,Physical,No,Latin America
List of the Scientific Writings of Charles Rollin Keyes,Ruth Roy Harris,English,Geology,2.0,Not mature,SAGE,1909,23,Physical,Yes ,Latin America
A Study Guide for Daniel Keyes's Flowers for Algernon,Cengage Learning,English,English literature,3.0,Not mature,Cengage Learning ,2015,15,Physical,No,Latin America
Domain-based Parallelism and Problem Decomposition ,David E. Keyes,English,Mathematical ,1.0,Not mature,SIAM,1995,323,Physical,Yes ,Central America
United States Department of Commerce Telephone Directory,Dept. of Commerce,English,Business & Economics,1.0,Not mature,SIAM,1991,500,Physical,Yes ,North America
Implementing the IT Balanced Scorecard,Jessica Keyes,English,Computers,4.0,Not mature,CRC Press,2016,528,Physical,Yes ,Latin America
Technology Trendlines,Jessica Keyes,English,Business & Economics,1.0,Not mature,John Wiley & Sons,1995,394,Physical,Yes ,North America
Biography and Genealogy Master Index,Jessica Keyes,English,Biography,3.0,Not mature,John Wiley & Sons,1997,594,Physical,No,North America
